src	trg	weight
Nirvana (band)	The Pretty Reckless	7.151492985635172
Nirvana (band)	Oasis (band)	7.151492985635172
Nirvana (band)	Soundgarden	7.151492985635172
Nirvana (band)	The Outfield	7.151492985635172
Nirvana (band)	Puddle of Mudd	7.151492985635172
Nirvana (band)	Weezer	7.151492985635172
Nirvana (band)	Paul McCartney	7.151492985635172
Nirvana (band)	rock music	7.151492985635172
Nirvana (band)	The Cranberries	7.151492985635172
Nirvana (band)	Skid Row (American band)	7.151492985635172
Nirvana (band)	Slade	7.151492985635172
Nirvana (band)	Silverchair	7.151492985635172
Nirvana (band)	R.E.M.	7.151492985635172
Nirvana (band)	Sex Pistols	7.151492985635172
Nirvana (band)	Red Hot Chili Peppers	7.151492985635172
Nirvana (band)	Queens of the Stone Age	7.151492985635172
Nirvana (band)	Sum 41	7.151492985635172
Nirvana (band)	Seether	7.151492985635172
Nirvana (band)	The Velvet Underground	7.151492985635172
